column_name,unique_value
current_energy_rating,A
current_energy_rating,B
current_energy_rating,C
current_energy_rating,D
current_energy_rating,E
current_energy_rating,F
current_energy_rating,G
property_type,Bungalow
property_type,Flat
property_type,House
property_type,Maisonette
property_type,Park home
tenure,unknown
mains_gas_flag,N
mains_gas_flag,Y
walls_energy_eff,Average
walls_energy_eff,Good
walls_energy_eff,N/A
walls_energy_eff,Poor
walls_energy_eff,Very Good
walls_energy_eff,Very Poor
roof_energy_eff,Average
roof_energy_eff,Good
roof_energy_eff,N/A
roof_energy_eff,Poor
roof_energy_eff,Very Good
roof_energy_eff,Very Poor
floor_energy_eff,Average
floor_energy_eff,Good
floor_energy_eff,N/A
floor_energy_eff,Poor
floor_energy_eff,Very Good
floor_energy_eff,Very Poor
windows_energy_eff,Average
windows_energy_eff,Good
windows_energy_eff,N/A
windows_energy_eff,Poor
windows_energy_eff,Very Good
windows_energy_eff,Very Poor
